date,NO3_N_mgL,2 x 12 CMA (TREND)
10/16/2012,0.438,0.498772727
10/22/2012,0.414,0.562909091
10/29/2012,0.43,0.639681818
11/6/2012,0.443,0.734636364
11/12/2012,0.714,0.914863636
11/20/2012,1.19,1.173636364
11/27/2012,1.21,1.489090909
12/4/2012,1.23,1.837636364
12/10/2012,1.63,2.146090909
12/17/2012,3.14,2.390045455
1/9/2013,3.54,2.687
1/15/2013,4.44,3.012727273
1/23/2013,4.08,3.240454545
1/31/2013,3.55,3.422272727
2/6/2013,2.69,3.604545455
2/12/2013,5,3.731363636
2/19/2013,4.07,3.765909091
2/26/2013,3.34,3.712727273
3/5/2013,3.1,3.633272727
3/13/2013,3.77,3.615444444
3/19/2013,3.79,3.591111111
3/26/2013,3.65,3.472222222
4/3/2013,3.16,3.303333333
4/15/2013,,3.218402778
4/29/2013,,3.09
5/14/2013,2.19,2.911517857
5/28/2013,3.36,2.619071429
6/11/2013,2.67,2.157857143
6/25/2013,,1.738214286
7/9/2013,1.16,1.544571429
7/23/2013,,1.478473214
8/6/2013,0.497,1.356830357
8/20/2013,0.486,1.168428571
9/3/2013,0.449,0.899369048
9/17/2013,,1.108654762
9/30/2013,0.487,1.682714286
10/15/2013,,1.985580357
10/28/2013,1.5,2.0314375
11/12/2013,,2.226375
11/26/2013,5.6,2.7179375
12/10/2013,4.36,3.050229167
1/7/2014,3.1,3.266166667
1/21/2014,0.042,3.3871
2/4/2014,4.06,3.3932
2/18/2014,4.74,3.347463636
3/4/2014,4.14,3.147963636
3/18/2014,3.22,2.8657
3/19/2014,2.8,2.58175
4/1/2014,2.24,2.5507
4/15/2014,1.61,2.559105556
4/23/2014,,2.314555556
4/28/2014,1.05,1.9605
5/13/2014,0.731,1.6815
5/26/2014,1.79,1.7085
6/11/2014,,1.86475
6/24/2014,1.76,1.924464286
7/8/2014,0.747,2.052589286
7/23/2014,,2.305375
8/5/2014,4.68,2.5415625
8/19/2014,2.86,2.692276786
9/2/2014,,2.760401786
9/16/2014,3.66,2.792125
9/29/2014,3.38,2.9635625
10/13/2014,2.18,3.098402778
10/28/2014,,2.8725
11/11/2014,2.88,2.746111111
11/24/2014,2.14,2.936638889
12/15/2014,3.11,3.028
1/1/2015,2.88,3.046
1/7/2015,0.845,3.139
1/14/2015,4.42,3.210068182
1/20/2015,4.91,3.209545455
2/3/2015,3.41,3.262272727
2/17/2015,3.99,3.329090909
3/3/2015,3.43,3.270909091
3/17/2015,3.39,3.255681818
3/31/2015,2.68,3.247818182
4/14/2015,3.5,3.096555556
4/27/2015,3.22,2.975555556
5/11/2015,1.49,2.7526875
5/26/2015,1.9,2.3793125
6/9/2015,,2.086375
6/23/2015,,1.8596875
7/7/2015,,1.5820625
7/21/2015,0.833,1.2570625
8/3/2015,0.613,1.0395
8/18/2015,1.52,0.975375
9/1/2015,0.923,0.983201389
9/16/2015,0.815,1.114538889
9/28/2015,0.705,1.385468182
10/14/2015,0.524,1.617863636
10/26/2015,1.84,1.855772727
11/10/2015,1.18,2.138363636
11/23/2015,3.39,2.402318182
12/8/2015,4.56,2.672863636
1/12/2016,2.62,2.892863636
1/26/2016,4.06,3.072454545
2/9/2016,4.29,3.170909091
2/23/2016,3.96,3.183636364
3/8/2016,3.73,3.111818182
3/21/2016,2.63,2.852409091
4/5/2016,2.55,2.629363636
4/19/2016,1.98,2.469363636
5/2/2016,1.32,2.204363636
5/17/2016,1.67,1.962422727
5/30/2016,0.573,1.7065
6/14/2016,1.7,1.4521
6/28/2016,1.46,1.2749
7/12/2016,1.06,1.116
7/25/2016,,1.0267
7/26/2016,0.514,0.9686
8/9/2016,0.758,0.99135
8/23/2016,0.878,1.0043
9/6/2016,0.474,1.0749
9/20/2016,1.04,1.3914
10/4/2016,0.788,1.655518182
10/18/2016,1.91,1.894727273
11/1/2016,0.622,2.127009091
11/14/2016,3.95,2.3108
11/29/2016,4.9,2.6012
12/12/2016,3.17,2.953
1/10/2017,4.19,3.2551
1/24/2017,,3.4322
2/7/2017,3.25,3.5621
2/21/2017,3.91,3.523
3/7/2017,4.64,3.2215
3/21/2017,3.23,3.0245
4/4/2017,3.01,2.897
4/18/2017,2.12,2.706772727
5/2/2017,1.67,2.522136364
5/15/2017,1.15,2.2655
5/30/2017,2.98,2.060363636
6/13/2017,1.83,1.975363636
6/27/2017,1.19,1.928090909
7/10/2017,0.777,1.871727273
7/25/2017,0.737,1.815818182
8/8/2017,3.3,1.866727273
8/22/2017,2.7,1.891272727
9/5/2017,2.5,1.891727273
9/18/2017,1.39,2.063545455
10/4/2017,1.17,2.332318182
10/17/2017,2.77,2.660318182
11/1/2017,1.9,2.834090909
11/13/2017,2.92,2.894090909
11/28/2017,3.88,3.008181818
12/12/2017,4,3.146818182
1/9/2018,4.73,3.342545455
1/24/2018,3.13,3.4775
2/6/2018,4.19,3.5125
2/20/2018,3.52,3.4435
3/6/2018,3.42,3.24
3/20/2018,,2.93675
4/3/2018,3.4,2.5601
4/17/2018,1.97,2.232
5/2/2018,1.47,1.99265
5/15/2018,1.26,1.710166667
5/29/2018,0.555,1.356
6/11/2018,0.642,1.168666667
6/26/2018,0.656,1.029208333
7/10/2018,,0.812589286
7/24/2018,0.517,0.674214286
8/7/2018,0.048,0.5483
8/21/2018,,0.474675
9/4/2018,,0.436375
9/18/2018,,0.443666667
10/2/2018,,0.726541667
10/16/2018,,1.595625
10/30/2018,,3.08125
11/13/2018,,4.0456
11/27/2018,0.876,4.2916
12/12/2018,2.45,4.393428571
1/9/2019,5.5,4.397678571
1/23/2019,6.95,4.390916667
2/5/2019,4.96,4.241466667
2/19/2019,5.88,4.0108
3/5/2019,3.84,3.864409091
3/19/2019,5.1,3.765454545
4/2/2019,3.48,3.474
4/16/2019,2.42,2.982727273
4/30/2019,1.18,2.481136364
5/14/2019,0.621,2.086063636
5/28/2019,0.528,1.7197
6/12/2019,1.01,1.2917
6/25/2019,0.632,0.88375
7/9/2019,0.243,0.6082
7/10/2019,,0.47345
7/23/2019,0.126,0.47255
8/7/2019,0.254,0.5326
8/20/2019,0.167,0.544183333
9/3/2019,0.222,0.548444444
9/17/2019,0.683,0.653722222
10/1/2019,1.1,0.817711111
10/15/2019,1.25,1.1554
10/16/2019,,1.6134
10/29/2019,1.15,2.04735
11/26/2019,1.62,2.4824
12/10/2019,2.48,2.84765
1/14/2020,5.13,3.084
1/28/2020,4.41,3.1815
2/25/2020,4.69,3.094363636
3/10/2020,4.4,2.964636364
3/24/2020,3.81,2.885181818
4/7/2020,2.7,2.759045455
4/21/2020,1.6,2.473909091
5/5/2020,0.897,2.076772727
5/19/2020,0.598,1.688272727
6/3/2020,0.424,1.290636364
6/16/2020,0.901,0.946863636
6/30/2020,0.436,0.674454545
7/14/2020,0.367,0.486090909
7/28/2020,0.186,0.387954545
8/11/2020,0.156,0.509454545
8/25/2020,0.491,0.773
9/8/2020,0.026,0.971863636
9/22/2020,0.13,1.148818182
10/6/2020,0.208,1.308227273
10/19/2020,3.96,1.522181818
11/3/2020,2.86,1.943909091
11/17/2020,2.84,2.375409091
12/1/2020,2.39,2.681909091
12/15/2020,1.92,2.920272727
1/12/2021,3.34,3.063090909
1/26/2021,6.28,2.981681818
3/23/2021,3.86,2.744363636
4/14/2021,3.4,2.547818182
4/20/2021,2,2.390727273
5/4/2021,1.48,2.268454545
5/18/2021,0.897,2.077272727
6/1/2021,0.702,1.682045455
6/15/2021,0.674,1.274272727
6/29/2021,1.1,1.079181818
7/13/2021,0.52,0.958954545
7/27/2021,0.534,0.870363636
8/10/2021,0.391,0.833727273
8/24/2021,0.778,0.808681818
9/7/2021,2.19,0.804727273
9/21/2021,0.565,0.800863636
10/5/2021,0.966,0.841454545
10/19/2021,0.605,0.911713636
11/2/2021,0.443,0.959627778
11/16/2021,0.846,1.002777778
11/30/2021,0.843,0.932142857
12/14/2021,1.67,0.871892857
